id,tenant_id,unit_uid,reading_def_uid,started_on,ended_on,index,is_array,is_unit_on,value,duration_milliseconds,remote_id,purge,sync,instance_id,remove
3a1f9c77-1a57-6b11-e913-bd85e87eee87,3a1b2a65-d6cf-72ac-d066-46993d168fef,3a1d1435-0afb-41a7-2d12-5eb77c185258,3a1eb3d6-3880-d3e2-9558-cc8a156cda52,2026-02-23 11:37:17.737+00,,0,t,f,ILLEGAL EXPRESSION FORMAT˜,,,f,f,3a1d1435-080b-6cb7-d486-2c9123b41e71,f
3a1fa01c-648a-d36f-6f1d-fa739b363534,3a1b2a65-d6cf-72ac-d066-46993d168fef,3a1d1435-0bb7-86db-9c63-ca5b1272cbf3,3a1eb3d6-3861-8614-2781-23ce6a1bffce,2026-02-24 04:36:40.405+00,,0,t,f, Z AXIS NEED  ZERO RETURN !,,,f,f,3a1d1435-080b-6cb7-d486-2c9123b41e71,f
3a1fa1e4-b317-1a04-42a8-6ab221b9ff81,3a1b2a65-d6cf-72ac-d066-46993d168fef,3a1d1435-0bb7-86db-9c63-ca5b1272cbf3,3a1eb3d6-3861-8614-2781-23ce6a1bffce,2026-02-24 12:55:04.136+00,,0,t,f,(X)- OVERTRAVEL ( SOFT 1 ),,,f,f,3a1d1435-080b-6cb7-d486-2c9123b41e71,f
3a1fa547-2ab6-4587-8d89-16fff49abe07,3a1b2a65-d6cf-72ac-d066-46993d168fef,3a1d1435-0bb7-86db-9c63-ca5b1272cbf3,3a1eb3d6-3861-8614-2781-23ce6a1bffce,2026-02-25 04:41:27.391+00,,0,t,f, Z AXIS NEED  ZERO RETURN !,,,f,f,3a1d1435-080b-6cb7-d486-2c9123b41e71,f
3a1fa63c-7bf1-f919-bb18-e845de2333fb,3a1b2a65-d6cf-72ac-d066-46993d168fef,3a1d1435-0afb-41a7-2d12-5eb77c185258,3a1eb3d6-3880-d3e2-9558-cc8a156cda52,2026-02-25 09:09:24.238+00,,0,t,f, CHUCK UNCLAMP.,,,f,f,3a1d1435-080b-6cb7-d486-2c9123b41e71,f
3a1faa7f-8ad5-0356-70b5-c39d6a464be7,3a1b2a65-d6cf-72ac-d066-46993d168fef,3a1d1435-0afb-41a7-2d12-5eb77c185258,3a1eb3d6-3880-d3e2-9558-cc8a156cda52,2026-02-26 05:01:05.635+00,,0,t,f, EMERGENCY STOP.,,,f,f,3a1d1435-080b-6cb7-d486-2c9123b41e71,f
3a1fabd3-7745-5ba6-5816-69da1b954432,3a1b2a65-d6cf-72ac-d066-46993d168fef,3a1d1435-0afb-41a7-2d12-5eb77c185258,3a1eb3d6-3880-d3e2-9558-cc8a156cda52,2026-02-26 11:12:22.596+00,,0,t,f, CHUCK UNCLAMP.,,,f,f,3a1d1435-080b-6cb7-d486-2c9123b41e71,f
3a1faf9c-bbdf-effd-df9c-783c20678436,3a1b2a65-d6cf-72ac-d066-46993d168fef,3a1d1435-0afb-41a7-2d12-5eb77c185258,3a1eb3d6-3880-d3e2-9558-cc8a156cda52,2026-02-27 04:51:02.592+00,,0,t,f, EMERGENCY STOP.,,,f,f,3a1d1435-080b-6cb7-d486-2c9123b41e71,f
3a1fc5a8-48ee-1cd5-d2bd-ef5aca5e78d5,3a1b2a65-d6cf-72ac-d066-46993d168fef,3a1d1435-0bb7-86db-9c63-ca5b1272cbf3,3a1eb3d6-3861-8614-2781-23ce6a1bffce,2026-03-03 11:35:38.701+00,,0,t,f, Z AXIS NEED  ZERO RETURN !,,,f,f,3a1d1435-080b-6cb7-d486-2c9123b41e71,f
3a1fc957-c1d0-59ae-de5d-80b5beca4e8a,3a1b2a65-d6cf-72ac-d066-46993d168fef,3a1d1435-0bb7-86db-9c63-ca5b1272cbf3,3a1eb3d6-3861-8614-2781-23ce6a1bffce,2026-03-04 04:46:08.89+00,,0,t,f, Z AXIS NEED  ZERO RETURN !,,,f,f,3a1d1435-080b-6cb7-d486-2c9123b41e71,f
3a1fc957-c1ea-368c-8569-9eb6e02b4eb7,3a1b2a65-d6cf-72ac-d066-46993d168fef,3a1d1435-0bb7-86db-9c63-ca5b1272cbf3,3a1eb3d6-3861-8614-2781-23ce6a1bffce,2026-03-04 04:46:08.89+00,,1,t,f," AIR PRESSURE FAILED!
",,,f,f,3a1d1435-080b-6cb7-d486-2c9123b41e71,f
3a1fc95a-1e42-b327-199a-296afe9abe77,3a1b2a65-d6cf-72ac-d066-46993d168fef,3a1d1435-0afb-41a7-2d12-5eb77c185258,3a1eb3d6-3880-d3e2-9558-cc8a156cda52,2026-03-04 04:48:43.567+00,,0,t,f, EMERGENCY STOP.,,,f,f,3a1d1435-080b-6cb7-d486-2c9123b41e71,f
